file,churn,total_complexity,average_method_complexity
app/models/metric/ci_mixin/capture.rb,4,351.7,32.0
lib/tasks/evm_test_helper.rb,4,40.9,10.2
lib/rbac.rb,4,5.5,1.1
app/models/miq_task.rb,4,213.6,6.1
app/models/mixins/supports_feature_mixin.rb,4,69.2,9.9
gems/pending/postgres_ha_admin/postgres_ha_admin.rb,4,2.0,2.0
app/models/manageiq/providers/cloud_manager/vm.rb,4,63.2,5.7
lib/miq_pglogical.rb,4,110.4,5.0
gems/pending/spec/disk/modules/miq_disk_cache_spec.rb,4,232.5,7.7
app/models/manageiq/providers/base_manager.rb,4,10.2,2.5
app/models/mixins/custom_attribute_mixin.rb,4,90.4,10.0
lib/miq_automation_engine/engine/miq_ae_domain_search.rb,4,109.5,7.8
gems/pending/openstack/events/openstack_ceilometer_event_monitor.rb,4,80.9,5.8
app/models/dialog_field_drop_down_list.rb,4,30.0,5.0
app/models/security_group.rb,4,18.5,9.3
app/models/manageiq/providers/vmware/infra_manager/vm/reconfigure.rb,4,248.7,16.6
app/models/dialog_field_check_box.rb,4,29.7,4.2
app/models/dialog_field_date_control.rb,4,50.6,5.6
app/models/dialog_field_date_time_control.rb,4,34.1,6.8
gems/pending/spec/miq_vm/miq_azure_vm_instance_spec.rb,4,92.7,4.9
gems/pending/spec/miq_vm/miq_azure_vm_image_spec.rb,4,92.7,4.9
gems/pending/spec/disk/modules/azure_blob_disk_spec.rb,4,326.2,9.9
config/application.rb,4,145.0,29.0
app/models/manageiq/providers/ansible_tower/provider.rb,4,114.0,10.4
app/models/arbitration_rule.rb,4,4.0,4.0
app/models/manageiq/providers/vmware/infra_manager/refresh_parser.rb,4,2164.4,38.6
lib/miq_automation_engine/engine/drb_remote_invoker.rb,4,55.7,6.2
lib/miq_automation_engine/engine/miq_ae_workspace.rb,4,378.0,9.9
gems/pending/util/vmdb-logger.rb,4,167.1,10.4
app/models/orchestration_stack.rb,3,75.2,4.4
app/models/miq_search.rb,3,73.7,6.1
app/models/vim_performance_analysis.rb,3,713.2,34.0
app/models/miq_region_remote.rb,3,116.2,19.4
app/models/cloud_network.rb,3,52.4,17.5
app/models/cloud_subnet.rb,3,56.7,14.2
app/models/network_router.rb,3,52.2,17.4
app/models/dialog_field_sorted_item.rb,3,73.8,6.7
app/models/dialog_field_button.rb,3,0.0,0.0
db/fixtures/ae_datastore/ManageIQ/Service/Provisioning/StateMachines/Methods.class/__methods__/catalogiteminitialization.rb,3,253.3,9.7
app/models/manageiq/providers/openstack/cloud_manager.rb,3,209.9,10.5
app/models/manageiq/providers/azure/regions.rb,3,27.0,6.8
app/models/middleware_performance.rb,3,84.9,12.1
app/models/manageiq/providers/redhat/infra_manager/vm_or_template_shared/scanning.rb,3,183.5,13.1
app/models/cloud_tenant.rb,3,30.9,15.5
gems/pending/VMwareWebService/MiqVim.rb,3,232.7,10.6
app/models/manageiq/providers/google/cloud_manager/vm.rb,3,14.2,3.6
lib/extensions/ar_virtual.rb,3,402.8,8.1
gems/pending/spec/disk/modules/miq_dummy_disk_spec.rb,3,175.9,6.5
app/models/manageiq/providers/google/cloud_manager/refresh_parser.rb,3,270.9,10.0
config/environments/production.rb,3,43.3,43.3
app/models/manageiq/providers/openstack/cloud_manager/vm.rb,3,48.1,5.3
app/models/storage_profile.rb,3,5.0,5.0
app/models/job_proxy_dispatcher.rb,3,511.9,22.3
app/models/generic_object.rb,3,48.2,6.0
app/models/manageiq/providers/vmware/infra_manager/refresher.rb,3,318.4,21.2
app/models/manageiq/providers/google/network_manager/refresh_parser.rb,3,246.1,8.5
app/models/manageiq/providers/openstack/cloud_manager/vm/resize.rb,3,90.6,10.1
lib/api/settings.rb,3,11.3,5.6
app/models/service_order.rb,3,90.2,6.4
app/models/manageiq/providers/vmware/cloud_manager/refresh_parser.rb,3,149.2,11.5
app/services/container_deployment_service.rb,3,64.5,12.9
app/services/api_user_token_service.rb,3,66.9,6.7
gems/pending/appliance_console.rb,3,665.2,221.7
app/models/ems_refresh/save_inventory_cloud.rb,3,178.8,12.8
