file,churn,total_complexity,average_method_complexity
app/helpers/application_helper/toolbar/ems_networks_center.rb,3,30.3,30.3
app/helpers/application_helper/toolbar/middleware_datasource_center.rb,4,26.5,26.5
app/helpers/application_helper/toolbar/middleware_datasources_center.rb,3,18.2,18.2
app/helpers/application_helper/toolbar/middleware_deployment_center.rb,5,36.7,36.7
app/helpers/application_helper/toolbar/middleware_deployments_center.rb,5,36.7,36.7
app/helpers/application_helper/toolbar/middleware_server_center.rb,4,67.0,67.0
app/helpers/application_helper/toolbar/miq_policy_center.rb,3,66.6,66.6
app/helpers/application_helper/toolbar/openstack_vm_cloud_center.rb,7,108.0,108.0
app/helpers/application_helper/toolbar/storage_center.rb,3,34.1,34.1
app/helpers/application_helper/toolbar/vm_clouds_center.rb,6,159.0,159.0
app/helpers/application_helper/toolbar/vm_infras_center.rb,3,151.2,151.2
app/helpers/application_helper/toolbar/x_configuration_script_center.rb,6,14.5,14.5
app/helpers/application_helper/toolbar/x_configuration_scripts_center.rb,4,2.0,2.0
app/helpers/application_helper/toolbar/x_vm_center.rb,4,192.7,192.7
app/helpers/application_helper/toolbar/x_vm_cloud_center.rb,6,87.4,87.4
app/helpers/application_helper/toolbar_builder.rb,29,2043.6,48.7
app/helpers/application_helper/toolbar_chooser.rb,13,687.5,26.4
app/helpers/cloud_network_helper/textual_summary.rb,3,24.3,3.0
app/helpers/cloud_object_store_container_helper/textual_summary.rb,3,32.7,5.5
app/helpers/cloud_subnet_helper/textual_summary.rb,3,45.3,3.0
app/helpers/cloud_volume_helper/textual_summary.rb,3,73.3,8.1
app/helpers/cloud_volume_snapshot_helper/textual_summary.rb,3,38.5,6.4
app/helpers/configuration_job_helper/textual_summary.rb,5,45.1,6.4
app/helpers/ems_cloud_helper/textual_summary.rb,6,96.3,4.4
app/helpers/ems_container_helper/textual_summary.rb,8,93.2,5.8
app/helpers/ems_infra_helper/textual_summary.rb,3,144.6,6.0
app/helpers/ems_network_helper/textual_summary.rb,4,47.5,2.4
app/helpers/host_helper/textual_summary.rb,3,567.1,9.9
app/helpers/middleware_server_helper/textual_summary.rb,3,21.6,3.1
app/helpers/network_port_helper/textual_summary.rb,6,34.9,3.2
app/helpers/network_router_helper/textual_summary.rb,3,24.3,3.0
app/helpers/orchestration_stack_helper/textual_summary.rb,6,81.8,6.3
app/helpers/provider_foreman_helper.rb,7,158.0,3.7
app/helpers/quadicon_helper.rb,21,850.8,13.5
app/helpers/security_group_helper/textual_summary.rb,3,40.9,5.1
app/helpers/service_helper/textual_summary.rb,6,82.0,4.3
app/helpers/textual_mixins/textual_refresh_status.rb,3,19.8,19.8
app/helpers/toolbar_helper.rb,5,227.1,14.2
app/helpers/ui_constants.rb,11,384.5,192.3
